latitude,longitude,site_name,site_type,category,source,osm_id,osm_type
25.2557259,82.9879145,BHU  Farms,farmland,AGRICULTURAL,OpenStreetMap,26682278,way
26.8906559,75.7864188,,farmland,AGRICULTURAL,OpenStreetMap,29013581,way
26.8877508,75.7807969,,farmland,AGRICULTURAL,OpenStreetMap,29013598,way
26.8818561,75.7727632,,farmland,AGRICULTURAL,OpenStreetMap,29013698,way
26.87609,75.7704672,,farmland,AGRICULTURAL,OpenStreetMap,29013709,way
27.5819557,84.4629694,Elephant Breeding Centre,farmland,AGRICULTURAL,OpenStreetMap,44696492,way
28.4034487,77.1333513,,farmland,AGRICULTURAL,OpenStreetMap,45662384,way
26.6473119,77.7664254,,farmland,AGRICULTURAL,OpenStreetMap,57378485,way
27.1740652,78.0396571,,farmland,AGRICULTURAL,OpenStreetMap,59423088,way
27.1804678,78.034428,,farmland,AGRICULTURAL,OpenStreetMap,59486175,way
27.1821656,78.0382718,,farmland,AGRICULTURAL,OpenStreetMap,59486176,way
30.8687687,75.8068085,Arcadian Villa,farmland,AGRICULTURAL,OpenStreetMap,62262147,way
30.9127149,75.726449,,farmland,AGRICULTURAL,OpenStreetMap,80194125,way
30.9147398,75.7296247,,farmland,AGRICULTURAL,OpenStreetMap,80194126,way
30.909553,75.7297857,,farmland,AGRICULTURAL,OpenStreetMap,80194127,way
30.9119277,75.7192285,,farmland,AGRICULTURAL,OpenStreetMap,80194754,way
30.9112651,75.7282729,Brar Farm,farmland,AGRICULTURAL,OpenStreetMap,80195171,way
30.9132026,75.7128771,,farmland,AGRICULTURAL,OpenStreetMap,80196394,way
28.6440754,77.2573977,,farmland,AGRICULTURAL,OpenStreetMap,80429817,way
28.6567701,77.253181,,farmland,AGRICULTURAL,OpenStreetMap,80431092,way
28.6593475,77.2568558,,farmland,AGRICULTURAL,OpenStreetMap,80431100,way
28.6244838,77.2652479,,farmland,AGRICULTURAL,OpenStreetMap,81061272,way
28.6206296,77.2703915,,farmland,AGRICULTURAL,OpenStreetMap,81061285,way
25.9558415,83.165531,,farmland,AGRICULTURAL,OpenStreetMap,88367524,way
26.073582,83.7121623,,farmland,AGRICULTURAL,OpenStreetMap,94331466,way
26.0744809,83.709796,,farmland,AGRICULTURAL,OpenStreetMap,94331468,way
26.0778472,83.7124243,,farmland,AGRICULTURAL,OpenStreetMap,94348939,way
26.0662313,83.7121475,,farmland,AGRICULTURAL,OpenStreetMap,94348941,way
26.0799565,83.7097355,,farmland,AGRICULTURAL,OpenStreetMap,94348944,way
26.0765762,83.7146459,,farmland,AGRICULTURAL,OpenStreetMap,94348946,way
26.077441,83.7140072,,farmland,AGRICULTURAL,OpenStreetMap,94348950,way
26.067893,83.7114632,,farmland,AGRICULTURAL,OpenStreetMap,94348955,way
26.07903,83.7140841,,farmland,AGRICULTURAL,OpenStreetMap,94348960,way
26.0699199,83.7081482,,farmland,AGRICULTURAL,OpenStreetMap,94348963,way
26.0670226,83.7098802,,farmland,AGRICULTURAL,OpenStreetMap,94348973,way
26.0663557,83.7093182,,farmland,AGRICULTURAL,OpenStreetMap,94348981,way
26.0692913,83.7106719,,farmland,AGRICULTURAL,OpenStreetMap,94348983,way
26.0798595,83.7197009,,farmland,AGRICULTURAL,OpenStreetMap,94498413,way
26.0772506,83.7155528,,farmland,AGRICULTURAL,OpenStreetMap,94498417,way
26.0749403,83.7193998,,farmland,AGRICULTURAL,OpenStreetMap,94498427,way
26.077208,83.7176985,,farmland,AGRICULTURAL,OpenStreetMap,94498428,way
26.0810337,83.7336496,,farmland,AGRICULTURAL,OpenStreetMap,94499759,way
26.0792671,83.7276974,,farmland,AGRICULTURAL,OpenStreetMap,94499767,way
26.0805689,83.7343534,,farmland,AGRICULTURAL,OpenStreetMap,94499776,way
26.078465,83.7323824,,farmland,AGRICULTURAL,OpenStreetMap,94499777,way
26.0821511,83.734437,,farmland,AGRICULTURAL,OpenStreetMap,94499781,way
26.0775444,83.728859,,farmland,AGRICULTURAL,OpenStreetMap,94499786,way
26.0704411,83.7310484,,farmland,AGRICULTURAL,OpenStreetMap,94500088,way
26.072952,83.7288829,,farmland,AGRICULTURAL,OpenStreetMap,94500096,way
