date,detections,avg_frp
2020-01-01,63,3.1612698412698412
2020-01-02,119,3.45109243697479
2020-01-03,130,2.7609230769230773
2020-01-04,128,3.019453125
2020-01-05,126,3.196984126984127
2020-01-06,112,2.869464285714286
2020-01-07,91,3.791758241758242
2020-01-08,26,1.235769230769231
2020-01-09,41,1.9558536585365853
2020-01-10,69,1.924927536231884
2020-01-11,155,2.710258064516129
2020-01-12,112,3.171517857142857
2020-01-13,64,3.3068750000000002
2020-01-14,78,1.8371794871794873
2020-01-15,96,2.4116666666666666
2020-01-16,40,2.20925
2020-01-17,28,1.2064285714285714
2020-01-18,33,1.6442424242424243
2020-01-19,68,1.9817647058823529
2020-01-20,64,4.24765625
2020-01-21,57,1.9559649122807017
2020-01-22,145,3.2850344827586206
2020-01-23,217,3.5624884792626728
2020-01-24,277,4.404584837545126
2020-01-25,234,3.672820512820513
2020-01-26,212,3.6885849056603774
2020-01-27,70,3.2424285714285714
2020-01-28,103,2.685242718446602
2020-01-29,83,4.6979518072289155
2020-01-30,148,2.7301351351351353
2020-01-31,234,4.294487179487179
2020-02-01,215,3.730604651162791
2020-02-02,383,4.022088772845953
2020-02-03,288,4.334930555555555
2020-02-04,249,3.944698795180723
2020-02-05,317,4.44186119873817
2020-02-06,279,7.081469534050179
2020-02-07,292,4.057191780821918
2020-02-08,402,4.217611940298507
2020-02-09,426,3.7870422535211268
2020-02-10,394,5.738147208121827
2020-02-11,369,4.412953929539295
2020-02-12,436,3.981261467889908
2020-02-13,398,4.165
2020-02-14,333,4.497447447447447
2020-02-15,428,4.712476635514019
2020-02-16,467,4.16100642398287
2020-02-17,405,4.537135802469136
2020-02-18,398,4.337462311557789
2020-02-19,156,4.465705128205128
2020-02-20,188,7.339946808510638
2020-02-21,51,2.8058823529411763
2020-02-22,62,2.399677419354839
2020-02-23,129,3.2089147286821706
2020-02-24,174,3.782816091954023
2020-02-25,97,2.8503092783505157
2020-02-26,165,3.1665454545454548
2020-02-27,119,3.265966386554622
2020-02-28,91,2.71978021978022
2020-02-29,136,3.016985294117647
2020-03-01,126,6.798492063492064
2020-03-02,169,4.213254437869822
2020-03-03,263,4.797110266159696
2020-03-04,222,3.864864864864865
2020-03-05,79,3.0722784810126584
2020-03-06,40,2.21875
2020-03-07,35,1.422
2020-03-08,155,3.9925806451612904
2020-03-09,219,2.9372146118721463
2020-03-10,163,4.207055214723926
2020-03-11,109,2.6483486238532112
2020-03-12,141,3.9129787234042555
2020-03-13,48,4.194375
2020-03-14,76,3.8853947368421053
2020-03-15,84,2.721309523809524
2020-03-16,140,4.462785714285714
2020-03-17,230,4.009260869565217
2020-03-18,244,3.9777459016393446
2020-03-19,194,5.794690721649485
2020-03-20,163,4.8247239263803685
2020-03-21,148,4.354662162162162
2020-03-22,115,4.370260869565217
2020-03-23,113,3.7233628318584073
2020-03-24,95,3.490526315789474
2020-03-25,96,4.1066666666666665
2020-03-26,108,4.7825
2020-03-27,31,2.583548387096774
2020-03-28,139,3.4548920863309354
2020-03-29,267,4.711198501872659
2020-03-30,309,4.6284142394822005
2020-03-31,251,6.04211155378486
2020-04-01,305,5.916098360655738
2020-04-02,355,4.818901408450705
2020-04-03,637,5.407535321821036
2020-04-04,836,5.310346889952153
2020-04-05,1069,7.243788587464921
2020-04-06,1186,5.987934232715008
2020-04-07,904,4.352024336283186
2020-04-08,849,3.770965842167256
2020-04-09,1637,6.1404703726328655
2020-04-10,1832,5.658733624454148
2020-04-11,1394,5.450157819225251
2020-04-12,1488,6.586995967741936
2020-04-13,1471,9.317382732834806
2020-04-14,869,5.373866513233602
2020-04-15,1191,5.701418975650714
2020-04-16,2472,6.853770226537217
2020-04-17,1256,6.617547770700637
2020-04-18,1398,8.875615164520744
2020-04-19,974,6.965759753593429
2020-04-20,1205,3.6671452282157677
2020-04-21,2590,5.1448532818532815
2020-04-22,1520,8.82671052631579
2020-04-23,1951,5.213270117888262
2020-04-24,2527,5.810340324495449
2020-04-25,2046,6.81941348973607
2020-04-26,1086,12.228848987108655
2020-04-27,1528,6.4878599476439796
2020-04-28,1843,5.985018990775909
2020-04-29,2087,7.769707714422616
2020-04-30,2477,7.515244247073071
2020-05-01,3241,8.690388768898488
2020-05-02,4144,5.970082046332046
2020-05-03,1973,7.4689204257475925
2020-05-04,1535,8.231485342019544
2020-05-05,1710,5.321491228070175
2020-05-06,1865,8.773061662198392
2020-05-07,4031,6.1463383775738025
2020-05-08,4360,6.418912844036697
2020-05-09,4008,6.8969211576846305
2020-05-10,1510,7.522152317880795
2020-05-11,1851,6.228190167477039
2020-05-12,3004,5.6973402130492685
2020-05-13,1552,5.554587628865979
2020-05-14,2530,6.755758893280633
2020-05-15,2372,6.161429173693086
2020-05-16,3908,6.627387410440123
2020-05-17,3087,8.287745383867833
2020-05-18,3816,6.575235849056603
2020-05-19,2062,8.187948593598447
2020-05-20,2113,7.885953620444865
2020-05-21,1773,7.268533558939651
2020-05-22,1244,8.550466237942123
2020-05-23,1477,7.006723087339202
2020-05-24,1085,6.345603686635945
2020-05-25,984,8.70028455284553
2020-05-26,1017,6.180009832841691
2020-05-27,525,6.991142857142857
2020-05-28,334,5.682155688622754
2020-05-29,121,5.141404958677686
2020-05-30,111,4.756306306306307
2020-05-31,152,6.362368421052632
2020-06-01,76,6.301052631578948
2020-06-02,88,5.95090909090909
2020-06-03,60,3.8185000000000002
2020-06-04,37,4.171891891891892
2020-06-05,67,4.87134328358209
2020-06-06,126,5.45468253968254
2020-06-07,142,4.712605633802817
2020-06-08,135,5.551925925925926
2020-06-09,83,4.215542168674698
2020-06-10,83,6.203975903614459
2020-06-11,74,4.0279729729729725
2020-06-12,59,4.7655932203389835
2020-06-13,52,4.483653846153846
2020-06-14,55,3.5309090909090908
2020-06-15,75,5.577066666666666
2020-06-16,89,4.448988764044944
2020-06-17,52,3.6107692307692307
2020-06-18,104,3.7577884615384614
2020-06-19,83,3.8366265060240963
2020-06-20,67,5.799402985074627
2020-06-21,115,8.821913043478261
2020-06-22,42,3.7861904761904763
2020-06-23,101,5.045346534653465
2020-06-24,55,3.0558181818181818
2020-06-25,8,1.1849999999999998
2020-06-26,19,3.2136842105263157
2020-06-27,16,2.3725
2020-06-28,70,5.519142857142857
2020-06-29,11,2.328181818181818
2020-06-30,51,5.187843137254902
2020-07-01,56,4.01875
2020-07-02,127,3.8923622047244093
2020-07-03,65,4.010923076923077
2020-07-04,107,4.413271028037383
2020-07-05,22,2.4250000000000003
2020-07-06,9,5.656666666666666
2020-07-07,31,4.820967741935483
2020-07-08,5,2.004
2020-07-09,21,3.6328571428571426
2020-07-10,38,4.134736842105263
2020-07-11,9,1.9911111111111113
2020-07-12,19,11.003684210526316
2020-07-13,14,1.7285714285714284
2020-07-14,12,3.0175
2020-07-15,24,3.5795833333333333
2020-07-16,39,2.408974358974359
2020-07-17,33,3.6375757575757577
2020-07-18,11,2.7018181818181817
2020-07-19,10,1.492
2020-07-20,4,2.6925
2020-07-21,10,1.5939999999999999
2020-07-22,17,3.320588235294118
2020-07-23,10,1.705
2020-07-24,7,1.3057142857142858
2020-07-25,8,1.195
2020-07-26,26,2.068846153846154
2020-07-27,6,2.3833333333333333
2020-07-28,7,2.391428571428571
2020-07-29,5,1.8739999999999999
2020-07-31,9,1.8711111111111112
2020-08-01,5,1.668
2020-08-02,10,2.293
2020-08-03,11,1.3372727272727274
2020-08-04,8,1.21125
2020-08-05,2,3.005
2020-08-06,3,3.2433333333333336
2020-08-07,29,2.4482758620689653
2020-08-08,9,2.9955555555555557
2020-08-09,2,2.0549999999999997
2020-08-10,1,0.51
2020-08-11,5,1.7120000000000002
2020-08-13,7,0.9857142857142858
2020-08-14,4,1.2025
2020-08-15,9,1.4644444444444444
2020-08-16,10,3.154
2020-08-17,6,2.7566666666666664
2020-08-18,6,3.195
2020-08-19,4,1.7375
2020-08-20,5,3.524
2020-08-21,8,1.2025000000000001
2020-08-22,3,1.54
2020-08-23,4,2.105
2020-08-24,9,1.517777777777778
2020-08-25,9,1.482222222222222
2020-08-26,5,1.5699999999999998
2020-08-27,7,1.792857142857143
2020-08-28,16,1.196875
2020-08-29,24,2.4483333333333333
2020-08-30,14,9.355
2020-08-31,9,1.1277777777777778
2020-09-01,6,3.408333333333333
2020-09-02,4,1.55
2020-09-03,27,1.1662962962962964
2020-09-04,15,1.8286666666666667
2020-09-05,22,1.0413636363636363
2020-09-06,27,2.031111111111111
2020-09-07,21,1.3485714285714285
2020-09-08,16,1.228125
2020-09-09,17,1.381764705882353
2020-09-10,25,2.2276
2020-09-11,21,3.154285714285714
2020-09-12,19,2.986842105263158
2020-09-13,25,4.081199999999999
2020-09-14,19,2.316842105263158
2020-09-15,14,1.8192857142857142
2020-09-16,21,2.551904761904762
2020-09-17,33,4.026060606060606
2020-09-18,42,3.9588095238095242
2020-09-19,32,3.6828125
2020-09-20,47,2.97468085106383
2020-09-21,43,4.096279069767442
2020-09-22,43,4.011627906976744
2020-09-23,36,4.533055555555555
2020-09-24,50,5.1136
2020-09-25,127,5.716220472440945
2020-09-26,109,4.132385321100918
2020-09-27,161,4.545155279503105
2020-09-28,131,3.226488549618321
2020-09-29,182,3.9574175824175826
2020-09-30,207,4.9169082125603865
2020-10-01,212,4.54438679245283
2020-10-02,264,5.084242424242424
2020-10-03,270,4.659518518518518
2020-10-04,475,4.129115789473684
2020-10-05,320,4.38615625
2020-10-06,455,4.356527472527473
2020-10-07,513,4.946471734892787
2020-10-08,565,5.739238938053098
2020-10-09,693,4.133564213564213
2020-10-10,772,5.371904145077719
2020-10-11,907,5.141400220507166
2020-10-12,891,4.3639955106621775
2020-10-13,822,5.992347931873479
2020-10-14,1181,4.919441151566469
2020-10-15,1478,5.604553450608932
2020-10-16,1199,6.34512093411176
2020-10-17,1887,5.555935347111817
2020-10-18,2072,6.622789575289575
2020-10-19,1563,5.994216250799743
2020-10-20,2009,5.177172722747636
2020-10-21,1859,6.281113501882733
2020-10-22,2406,5.809206151288445
2020-10-23,2390,6.261221757322176
2020-10-24,2629,6.906705971852415
2020-10-25,4006,5.771178232651024
2020-10-26,3574,7.336138780078344
2020-10-27,4587,6.873764988009592
2020-10-28,5622,6.329000355745286
2020-10-29,4695,6.593642172523962
2020-10-30,7508,7.009721630261055
2020-10-31,7987,7.5914874170527105
2020-11-01,6637,8.215406056953443
2020-11-02,7731,6.769292458931575
2020-11-03,7017,7.925314236853356
2020-11-04,9919,7.900378062304668
2020-11-05,11379,6.755986466297565
2020-11-06,8558,7.595739658798784
2020-11-07,10717,7.2803041896053005
2020-11-08,8278,7.032465571394057
2020-11-09,5570,7.552587073608618
2020-11-10,8039,6.472448065679811
2020-11-11,4863,6.725362944684351
2020-11-12,3132,6.01955619412516
2020-11-13,4151,5.607805348108889
2020-11-14,1958,5.2958324821246165
2020-11-15,1399,5.062151536812008
2020-11-16,293,2.7841296928327646
2020-11-17,549,4.009162112932605
2020-11-18,926,4.955064794816415
2020-11-19,1012,5.857490118577075
2020-11-20,1280,5.643421875
2020-11-21,1527,4.995016371971186
2020-11-22,822,4.212177615571776
2020-11-23,635,4.415543307086614
2020-11-24,573,3.7501396160558462
2020-11-25,403,3.327394540942928
