latitude,longitude,site_name,site_type,category,source,osm_id,osm_type
28.1882942,83.9886833,,wood,FOREST,OpenStreetMap,25645086,way
28.2121841,84.0072147,Bhadrakali mandir,forest,FOREST,OpenStreetMap,25645089,way
27.0792548,83.2528483,,wood,FOREST,OpenStreetMap,25990691,way
25.3617941,82.9646997,,wood,FOREST,OpenStreetMap,26780763,way
25.3674212,82.9619067,,wood,FOREST,OpenStreetMap,26780784,way
25.3325539,83.0444596,,wood,FOREST,OpenStreetMap,26809589,way
25.3342264,83.0432023,,wood,FOREST,OpenStreetMap,26809597,way
25.3306824,83.0460733,,wood,FOREST,OpenStreetMap,26809604,way
25.3339898,83.0479186,,wood,FOREST,OpenStreetMap,26809607,way
25.3427633,83.0523862,,wood,FOREST,OpenStreetMap,26809633,way
25.3342649,82.9217714,,wood,FOREST,OpenStreetMap,26978804,way
25.4190538,82.8736593,,wood,FOREST,OpenStreetMap,28353747,way
25.3321641,83.0408357,,wood,FOREST,OpenStreetMap,28729182,way
25.3306336,83.0388318,,wood,FOREST,OpenStreetMap,28729200,way
25.2589609,82.8345285,,wood,FOREST,OpenStreetMap,28731152,way
25.3100346,82.9167543,,wood,FOREST,OpenStreetMap,28731602,way
25.2705119,82.8409132,,wood,FOREST,OpenStreetMap,28732643,way
25.4835529,81.9865141,,wood,FOREST,OpenStreetMap,28766628,way
25.4802251,81.9859004,,wood,FOREST,OpenStreetMap,28766631,way
25.4838745,81.9960499,,wood,FOREST,OpenStreetMap,28766644,way
25.4865282,81.9917798,,wood,FOREST,OpenStreetMap,28766646,way
25.4878298,81.9903937,,wood,FOREST,OpenStreetMap,28766649,way
25.4791927,81.977001,,wood,FOREST,OpenStreetMap,28766733,way
25.4795975,81.9757427,,wood,FOREST,OpenStreetMap,28766735,way
25.4906886,81.9912875,,wood,FOREST,OpenStreetMap,28767089,way
25.4831694,81.9926253,,wood,FOREST,OpenStreetMap,28767261,way
25.4920793,81.9845572,,wood,FOREST,OpenStreetMap,28767353,way
25.4866714,81.9962902,,wood,FOREST,OpenStreetMap,28767375,way
25.4883373,81.9971528,,wood,FOREST,OpenStreetMap,28767399,way
25.4866095,81.9996162,,wood,FOREST,OpenStreetMap,28767441,way
25.4861136,82.0037746,,wood,FOREST,OpenStreetMap,28767448,way
25.4940781,81.997921,,wood,FOREST,OpenStreetMap,28767456,way
25.4961544,81.9961186,,wood,FOREST,OpenStreetMap,28767461,way
25.4969098,81.9979467,,wood,FOREST,OpenStreetMap,28767464,way
25.4931098,82.0062552,,wood,FOREST,OpenStreetMap,28767584,way
25.4856759,81.9933162,,wood,FOREST,OpenStreetMap,28767624,way
25.4843161,81.9886899,,wood,FOREST,OpenStreetMap,28767638,way
25.4819259,81.9853811,,wood,FOREST,OpenStreetMap,28767640,way
25.4919941,81.9796777,,wood,FOREST,OpenStreetMap,28767646,way
25.4906537,81.9781413,,wood,FOREST,OpenStreetMap,28767657,way
25.479427,81.9691591,,wood,FOREST,OpenStreetMap,28767666,way
25.4810813,81.9657302,,wood,FOREST,OpenStreetMap,28767672,way
25.4834406,81.9589109,,wood,FOREST,OpenStreetMap,28767674,way
25.4397972,81.8550815,,wood,FOREST,OpenStreetMap,28792441,way
27.6563105,84.1498656,,forest,FOREST,OpenStreetMap,30499350,way
27.6924191,84.1476604,,wood,FOREST,OpenStreetMap,30499366,way
27.6820958,84.1072674,,forest,FOREST,OpenStreetMap,30499400,way
30.7444475,76.8232032,,wood,FOREST,OpenStreetMap,31277515,way
28.4591892,77.1169293,,military,FOREST,OpenStreetMap,35261953,way
28.4586992,77.1246065,,military,FOREST,OpenStreetMap,35262006,way
28.5679139,77.2966893,,wood,FOREST,OpenStreetMap,37239469,way
28.5686295,77.298362,,wood,FOREST,OpenStreetMap,37239479,way
28.1593553,82.2905239,,forest,FOREST,OpenStreetMap,42486443,way
30.2911706,76.3996365,Bir Motibagh WLS,wood,FOREST,OpenStreetMap,43745290,way
27.1793558,78.0389904,,forest,FOREST,OpenStreetMap,59221593,way
26.1543232,78.2176049,,wood,FOREST,OpenStreetMap,59388888,way
27.1715228,78.0370464,,wood,FOREST,OpenStreetMap,59423087,way
27.1798699,78.0440896,,wood,FOREST,OpenStreetMap,59449555,way
27.1762623,78.0562885,,wood,FOREST,OpenStreetMap,59489259,way
29.3951495,79.4612843,,wood,FOREST,OpenStreetMap,60140054,way
24.3809388,78.420782,,wood,FOREST,OpenStreetMap,66679143,way
28.5980742,77.3606442,,wood,FOREST,OpenStreetMap,70705836,way
23.9019997,81.6263176,,wood,FOREST,OpenStreetMap,71892437,way
23.6081855,84.9157118,,wood,FOREST,OpenStreetMap,71892446,way
24.7763255,82.122001,,wood,FOREST,OpenStreetMap,71893481,way
24.0680499,81.2373549,,wood,FOREST,OpenStreetMap,71893488,way
23.9424388,82.8446912,,wood,FOREST,OpenStreetMap,71893501,way
23.6148808,81.6451012,,wood,FOREST,OpenStreetMap,71893519,way
28.516928,77.2717216,,wood,FOREST,OpenStreetMap,72027111,way
28.6133434,77.3047317,,wood,FOREST,OpenStreetMap,76963144,way
25.173049,80.7261166,,wood,FOREST,OpenStreetMap,76979088,way
23.8153643,79.7315376,,wood,FOREST,OpenStreetMap,77086686,way
23.8123942,79.6363076,,wood,FOREST,OpenStreetMap,77086692,way
24.2511622,81.1654731,,wood,FOREST,OpenStreetMap,77087864,way
24.1462406,81.1396122,,wood,FOREST,OpenStreetMap,77087866,way
