grid_id,latitude,longitude,total_detections,active_days,avg_frp,max_frp,median_frp,frp_std,avg_brightness,max_brightness,avg_confidence,satellite_count,active_months,active_years,years_with_activity,avg_yearly_detections,max_yearly_detections,yearly_detection_std,recurrence_ratio,persistent_months,avg_monthly_detections,max_monthly_detections,satellite_types,snpp_detections,noaa20_detections,noaa21_detections,multi_satellite_activity,detections_30d,active_days_30d,avg_frp_30d,max_frp_30d,detections_90d,active_days_90d,avg_frp_90d,max_frp_90d,seasonal_peak,seasonal_mean,seasonal_std,seasonality_strength,detections_per_active_day,recent_activity_ratio,frp_intensity_ratio,persistence_ratio
24.15_82.55,24.171705290780142,82.56634681985815,7050,1533,2.12,61.19,1.54,1.998049145006771,312.4986964539007,367.0,58.81702127659575,3,78,7,7,1007.1428571428572,1714,520.8529634395964,1.0,78,90.3846153846154,414,3,3057,3074,919,1,0,0,0.0,0.0,22,11,2.46,6.93,1139,587.5,337.0469349565967,1.9387234042553192,4.598825831702544,0.0,28.874064782823464,1.0
24.15_82.65,24.168764925400293,82.67201522561864,5496,1256,1.72,19.38,1.22,1.6103126706714268,310.3558806404658,367.0,58.72816593886463,3,79,7,7,785.1428571428571,1738,548.4637419105078,1.0,79,69.56962025316456,319,3,2145,2203,1148,1,1,1,1.7,1.77,30,16,2.85,8.39,838,458.0,233.40990085722973,1.8296943231441047,4.375796178343949,0.033,11.262604708803256,1.0
23.65_84.95,23.67020127553943,84.99470776971549,5238,1530,1.35,27.47,1.16,0.978275768345552,304.4678021768188,367.0,59.71357647508116,3,80,7,7,748.1428571428571,984,167.68167120214082,1.0,80,65.4625,183,3,2201,2318,718,1,3,3,1.91,1.88,14,9,1.53,2.59,781,436.4166666666667,275.2705968954031,1.789574183692954,3.425114453891432,0.214,20.415430027034123,1.0
26.60_79.45,26.642515518453425,79.47886769185706,5121,1368,2.71,42.02,1.47,3.7443752706168127,312.7197070884593,367.0,59.64264792032806,3,80,7,7,731.5714285714286,1307,327.1747021306594,1.0,80,64.0125,239,3,2079,2022,1020,1,6,5,1.62,3.2,44,28,2.58,13.52,844,426.75,251.94484425257556,1.9777387229056824,3.7434210526315783,0.136,15.49367859665494,1.0
24.15_82.60,24.16458678256728,82.6247103691355,4199,1055,2.11,35.75,1.36,2.2446041721927643,312.4683043581805,367.0,58.328173374613,3,74,7,7,599.8571428571429,1403,404.0686528183994,1.0,74,56.74324324324324,490,3,1591,1678,930,1,2,2,0.76,2.5,49,21,2.85,7.17,744,349.9166666666667,248.00016801069572,2.1262205286973086,3.980094786729858,0.041,16.963039677992743,1.0
23.80_84.90,23.831125302586628,84.93342613469986,4100,962,2.23,44.25,1.56,2.2436227286360886,311.8103709126403,367.0,58.38945827232797,3,63,7,7,585.4285714285714,1520,605.3640384492782,1.0,63,65.04761904761905,428,3,1460,1562,1076,1,2,1,0.86,0.0,9,7,0.91,2.79,810,341.5,272.6247837729958,2.3718887262079065,4.2643080124869925,0.222,19.820601187685064,1.0
23.80_84.80,23.808390986842102,84.84501370951416,3952,1387,1.59,11.99,1.26,1.1409517419250312,307.9267687246964,367.0,59.05111336032389,3,77,7,7,564.5714285714286,883,204.76723138143723,1.0,77,51.324675324675326,190,3,1627,1718,607,1,0,0,0.0,0.0,5,5,2.24,7.2,645,329.3333333333333,229.2950989974326,1.958502024291498,2.8493150684931505,0.0,7.562193882192223,1.0
24.65_74.60,24.661731781071243,74.63280888195527,3847,1444,1.8,6.75,1.66,0.7191223276414904,305.0223764950598,342.38,59.99219968798752,3,80,7,7,549.4285714285714,893,212.6686445646193,1.0,80,48.075,149,3,1530,1668,648,1,2,2,1.91,2.01,6,6,1.59,2.19,625,320.5,208.4616816762081,1.9500780031201248,2.6652806652806653,0.333,3.760135223213897,1.0
24.10_82.55,24.13761214827788,82.57120722416812,3426,945,2.0,30.75,1.42,1.8030284973357635,313.0722913018097,367.0,57.65323992994746,3,71,7,7,489.4285714285714,1161,393.269567066856,1.0,71,48.25352112676056,290,3,1466,1486,474,1,0,0,0.0,1.08,15,12,3.13,6.57,850,285.5,248.58088129511196,2.9772329246935203,3.6253968253968254,0.0,15.37897267682983,1.0
24.20_82.70,24.20692666772756,82.71172888924252,3142,1061,2.26,108.16,1.58,2.856983260959398,310.747959898154,367.0,58.51050286441757,3,66,7,7,448.8571428571428,891,313.16206058601057,1.0,66,47.60606060606061,203,3,1143,1258,741,1,3,1,1.66,2.98,44,21,3.76,12.19,463,261.8333333333333,158.67510163471735,1.7683004455760662,2.9613572101790764,0.068,47.872632173561485,1.0
