grid_id,latitude,longitude,industrial_fire_risk,risk_level,risk_rank,industrial_fire_candidate,detections_30d,active_days_30d,avg_frp_30d,max_frp_30d,industrial_context_score,industrial_area_count,factory_count,warehouse_count,power_plant_count,manufacturing_count,refinery_count,storage_count,chemical_count,steel_count,oil_count,gas_count,recent_thermal_score,has_recent_firms,has_industrial_context
24.15_82.55,24.171705290780142,82.56634681985815,0.0,NO ACTIVE SIGNAL,,0,0.0,0.0,0.0,0.0,40.0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,1
24.15_82.65,24.168764925400293,82.67201522561864,0.0,NO ACTIVE SIGNAL,,0,3.0,2.0,1.7333333333333334,1.77,0.0,0,0,0,0,0,0,0,0,0,0,0,23.99605143560552,1,0
23.65_84.95,23.67020127553943,84.99470776971549,23.6973323925105,LOW,5.0,1,5.0,4.0,1.344,1.88,40.0,1,0,0,0,0,0,0,0,0,0,0,32.138717717621745,1,1
26.60_79.45,26.642515518453425,79.47886769185706,45.034775783117155,MODERATE,2.0,1,13.0,8.0,1.463846153846154,3.2,40.0,1,0,0,0,0,0,0,0,0,0,0,51.115593815359865,1,1
24.15_82.60,24.16458678256728,82.6247103691355,0.0,NO ACTIVE SIGNAL,,0,8.0,4.0,1.255,2.5,0.0,0,0,0,0,0,0,0,0,0,0,0,36.65744547668275,1,0
23.80_84.90,23.831125302586628,84.93342613469986,0.0,NO ACTIVE SIGNAL,,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
23.80_84.80,23.808390986842102,84.84501370951416,0.0,NO ACTIVE SIGNAL,,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
24.65_74.60,24.661731781071243,74.63280888195527,4.210448233272211,LOW,29.0,1,1.0,1.0,2.01,2.01,40.0,1,0,0,0,0,0,0,0,0,0,0,14.807672969138078,1,1
24.10_82.55,24.13761214827788,82.57120722416812,0.0,NO ACTIVE SIGNAL,,0,1.0,1.0,1.08,1.08,0.0,0,0,0,0,0,0,0,0,0,0,0,12.516541381823306,1,0
24.20_82.70,24.20692666772756,82.71172888924252,0.0,NO ACTIVE SIGNAL,,0,6.0,3.0,2.0683333333333334,2.98,0.0,0,0,0,0,0,0,0,0,0,0,0,33.54304789713901,1,0
