osm_id,latitude,longitude,source_type,name,industrial,power,plant_source,landuse,man_made,operator
node_431288185,29.9541629,77.4496894,INDUSTRIAL,Bidvi Sugar Mill,,,,,works,
node_496730218,28.7786707,77.1428523,INDUSTRIAL,Pyare Lal Ashok Leyland,,,,,works,
node_568506755,28.2620915,83.9573112,INDUSTRIAL,Carpet Factory,,,,,works,
node_597102382,30.3716034,76.4746896,INDUSTRIAL,Milkfed,,,,,works,
node_597104344,30.6995724,76.7928206,INDUSTRIAL,Central Warehouse,,,,,works,
node_778367081,30.739732,75.6872398,INDUSTRIAL,Brick Kiln,,,,,works,
node_818438933,31.3794525,75.8255419,INDUSTRIAL,GNA,,,,,works,
node_916542416,30.8648284,75.8654946,INDUSTRIAL,Dashmesh nickeling industry,,,,,works,
node_917866068,30.8702514,75.868472,INDUSTRIAL,Komal Metal Works,,,,,works,
node_918130248,30.8661711,75.8609915,INDUSTRIAL,Krishna Industries,,,,,works,
node_918130250,30.8667056,75.8605343,INDUSTRIAL,Nippi Motors,,,,,works,
node_918130295,30.8661154,75.8613538,INDUSTRIAL,Rattan Industries Corporation,,,,,works,
node_918130321,30.8660066,75.8609962,INDUSTRIAL,Sharma Industries,,,,,works,
node_918130324,30.8670816,75.8614438,INDUSTRIAL,A.B Machine Tools(Shaper-Lathe-Planner),,,,,works,
node_918137567,30.8658053,75.861395,INDUSTRIAL,Bharat computer Dharam Kandha,,,,,works,
node_918309756,30.8612447,75.8660297,INDUSTRIAL,Hatth Khaddi,,,,,works,
node_918520857,30.86779,75.8624991,INDUSTRIAL,Cycle Parts Manufactures,,,,,works,
node_918520880,30.8678516,75.8625056,INDUSTRIAL,BBH Gears,,,,,works,
node_918521019,30.8676548,75.8624957,INDUSTRIAL,Deep Press Tools(Office),,,,,works,
node_918521020,30.867272,75.8628543,INDUSTRIAL,Depot(Government),,,,,works,
node_918521049,30.8658628,75.8624743,INDUSTRIAL,Jaspal Boaring Company,,,,,works,
node_918521091,30.8680394,75.8624767,INDUSTRIAL,Dayal Enterprises,,,,,works,
node_918521111,30.8664709,75.8628097,INDUSTRIAL,Shukdev Singh & Son's,,,,,works,
node_919346282,30.8693565,75.8645714,INDUSTRIAL,Rattan International Steel Works,,,,,works,
node_919347333,30.8688986,75.8645644,INDUSTRIAL,Mocsow Bicycle Company,,,,,works,
node_919393140,30.8719316,75.8613636,INDUSTRIAL,Industry,,,,,works,
node_919601744,30.8660587,75.8667381,INDUSTRIAL,Kanda Oil & Mill Stone,,,,,works,
node_919601756,30.8664462,75.866777,INDUSTRIAL,A-One Traders,,,,,works,
node_919601760,30.8690976,75.8668644,INDUSTRIAL,Shiv Motors,,,,,works,
