osm_id,latitude,longitude,source_type,name,industrial,power,plant_source,landuse,man_made,operator
node_1894140780,27.1059398,76.2453629,MINING,Dagota,,,,,mineshaft,
node_4008695799,28.0722172,84.0678502,MINING,,,,,quarry,,
node_4879093078,25.8307441,75.2647537,MINING,,,,,quarry,,
node_4894025134,24.8750326,84.1564784,MINING,Katar Balu Ghat,,,,quarry,,
node_5377516416,28.0678196,81.6308601,MINING,Arya Farme,,,,,mineshaft,
node_6261128419,27.5779865,83.6999854,MINING,Shrijana tole,,,,,adit,
node_6837300903,28.2858142,83.7837188,MINING,,,,,,mineshaft,Bishnu Sunar
node_6901961040,28.2820407,83.8345436,MINING,Aaran,,,,,mineshaft,Bhairam Sunar
node_6907751251,28.2697131,83.8161839,MINING,Aaran,,,,,mineshaft,Lal Bahadur
node_8344625434,31.3581099,83.9518545,MINING,Zabuye Lithium Mine,,,,quarry,,
node_9175996341,29.1465403,79.4769342,MINING,,,,,quarry,,
node_10833882474,28.2713458,84.5328503,MINING,,,,,,adit,
node_11261980945,27.5160227,83.567064,MINING,,,,,quarry,,
node_13321539784,28.9527693,82.2510927,MINING,dhaukhani,,,,quarry,,
node_14019284866,28.8357065,77.0164127,MINING,,,,,,mineshaft,
way_34264322,28.3177422,77.1749103,MINING,,,,,quarry,,
way_94527538,26.0660161,83.7078911,MINING,,,,,quarry,,
way_94580942,26.0640902,83.7057952,MINING,,,,,quarry,,
way_95392746,26.0801161,83.6978475,MINING,,,,,quarry,,
way_95459503,26.0679079,83.6780325,MINING,,,,,quarry,,
way_95459511,26.0710354,83.6749438,MINING,,,,,quarry,,
way_95459531,26.0681102,83.6770656,MINING,,,,,quarry,,
way_95459823,26.0664513,83.6900981,MINING,,,,,quarry,,
way_95459939,26.0669097,83.6778704,MINING,,,,,quarry,,
way_95460024,26.0680811,83.6805488,MINING,,,,,quarry,,
way_95460037,26.0693343,83.6688223,MINING,,,,,quarry,,
way_95685685,26.0653607,83.674117,MINING,,,,,quarry,,
way_95685695,26.0658812,83.6729159,MINING,,,,,quarry,,
way_95685721,26.0644567,83.6738088,MINING,,,,,quarry,,
way_101848556,24.6299525,80.8928569,MINING,,,,,quarry,,
way_119157175,23.9752435,80.4568374,MINING,,,,,quarry,,
way_119157176,23.8141854,80.3862699,MINING,,,,,quarry,,
way_119221867,24.6548319,83.979288,MINING,,,,,quarry,,
way_119221868,24.6887302,83.991884,MINING,,,,,quarry,,
way_119238615,23.990982,79.3837765,MINING,,,,,quarry,,
way_120223185,25.4604763,78.6706218,MINING,,,,,quarry,,
way_120223188,25.420271,78.6600333,MINING,,,,,quarry,,
way_134518627,24.4072544,83.5946701,MINING,,,,,quarry,,
way_134518628,24.4642718,83.0303999,MINING,,,,,quarry,,
way_134518629,24.4775122,83.0127461,MINING,,,,,quarry,,
way_136505868,24.6014166,83.9082992,MINING,,,,,quarry,,
way_148585007,28.8843311,75.8493924,MINING,,,,,quarry,,
way_148585013,28.9020834,75.8632738,MINING,,,,,quarry,,
way_164499472,24.1462405,80.832274,MINING,,,,,quarry,,
way_164499473,24.1726439,80.8533928,MINING,,,,,quarry,,
way_168237664,31.249236,76.966685,MINING,Darlaghat Mines,,,,quarry,,
way_194637144,23.8074676,84.8444327,MINING,Tetariakhar Coal Mine,,,,quarry,,Central Coalfields Limited (CCL)
way_196365367,27.0218283,74.6892428,MINING,,,,,quarry,,
way_196365369,27.0264879,74.711289,MINING,,,,,quarry,,
