zone_id,grid_ids_merged,n_grids_merged,latitude,longitude,risk_score,risk_level,avg_risk_score,total_detections,avg_frp,max_frp,region_radius_km
24.20_82.70,24.20_82.70;24.15_82.75;24.10_82.70;24.10_82.75;24.15_82.70;24.20_82.85;24.20_82.90;24.20_82.80;24.15_82.85;24.25_82.75;24.20_82.75;24.30_82.95;24.15_82.80;24.25_82.80;24.25_82.90;24.30_82.90;24.25_82.70;24.30_82.75;24.25_82.85;24.05_82.90;24.15_82.90;24.05_82.70;24.10_82.90;24.30_82.70;24.30_82.85;24.30_82.80;24.05_82.85;24.05_82.80,28,24.20692666772756,82.71172888924252,100.0,CRITICAL,59.2,8304,7.92,108.16,30
24.90_84.10,24.90_84.10;24.90_84.15;24.90_84.25;25.10_84.05;25.10_84.10;25.05_84.10;25.10_84.25;25.00_84.05;25.05_84.15;25.00_84.10;25.10_84.15;25.00_84.15;24.95_84.10;24.95_84.05;25.00_84.25;25.05_84.05;25.05_84.25;24.90_84.20;24.85_84.05;25.00_84.20;24.95_84.30;24.95_84.15;24.85_84.25;24.85_84.20;24.85_84.10;24.95_84.20;25.05_84.20;24.95_84.25;24.85_84.15;24.90_84.05,30,24.92914470941884,84.14115705410822,99.24080083809974,CRITICAL,73.6,8330,5.93,193.54,30
25.10_76.95,25.10_76.95;25.05_76.95;25.10_77.00;25.05_76.90;25.10_76.85;24.90_77.00;25.05_77.00;25.05_76.75;24.90_76.90;25.10_76.90;24.85_76.85;25.00_76.95;24.95_77.00;24.95_76.95;25.00_76.85;24.85_76.95;25.00_76.90;24.90_76.95;25.05_76.85;25.05_76.80;24.95_76.80;24.85_76.90;25.00_77.00;24.95_76.85;24.95_76.90;24.95_76.75;24.85_77.00;25.00_76.75;24.90_76.80;24.90_76.85;25.00_76.80;24.85_76.80;25.10_76.75;24.85_76.75;25.10_76.80,35,25.122774363636363,76.97453242857142,99.0534199854496,CRITICAL,70.2,8031,7.28,372.26,30
25.90_78.25,25.90_78.25;25.85_78.20;25.90_78.10;25.70_78.10;25.85_78.25;25.90_78.30;25.90_78.20;25.85_78.10;25.90_78.15;25.90_78.35;25.75_78.10;25.80_78.15;25.80_78.20;25.80_78.10;25.85_78.15;25.80_78.25;25.70_78.15;25.85_78.30;25.85_78.35;25.70_78.20;25.75_78.15;25.70_78.30;25.70_78.35;25.80_78.30;25.75_78.20;25.70_78.25;25.75_78.25;25.80_78.35;25.75_78.30,29,25.9252723,78.27329756363636,97.87857195896936,CRITICAL,76.3,16819,6.19,265.43,30
24.15_77.45,24.15_77.45;24.10_77.45;24.10_77.40;24.15_77.50;24.25_77.45;24.05_77.50;24.20_77.40;24.20_77.45;24.30_77.50;24.10_77.50;24.15_77.35;24.05_77.40;24.30_77.45;24.25_77.50;24.25_77.30;24.05_77.45;24.25_77.40;24.20_77.50;24.25_77.35;24.15_77.40;24.30_77.40;24.20_77.30;24.05_77.30;24.15_77.30;24.10_77.30;24.30_77.35;24.05_77.35;24.10_77.35;24.20_77.35,29,24.17880944099379,77.47021192546585,96.63005202170947,CRITICAL,73.6,5901,5.21,259.61,30
31.35_74.80,31.35_74.80;31.35_74.70;31.40_74.65;31.45_74.75;31.45_74.70;31.35_74.75;31.45_74.65;31.40_74.80;31.35_74.65;31.40_74.75;31.40_74.60;31.45_74.80;31.40_74.70;31.45_74.60;31.35_74.60,15,31.37526773381295,74.82474318345324,95.64033680389994,CRITICAL,76.5,8055,6.04,243.48,30
31.25_76.90,31.25_76.90;31.30_76.85;31.20_76.90;31.25_77.00;31.25_76.95;31.30_76.90;31.30_76.95;31.10_76.75;31.20_76.80;31.15_76.75;31.15_76.80;31.15_76.85;31.10_76.80;31.15_76.95;31.10_76.95;31.25_76.75;31.20_76.95;31.20_76.85;31.10_76.85;31.10_76.90;31.20_76.75;31.25_76.80;31.30_76.80;31.15_76.90;31.30_76.75;31.25_76.85,26,31.257288598273234,76.92664213814119,95.3254514372766,CRITICAL,61.9,5916,4.33,77.59,30
25.15_83.95,25.15_83.95;25.20_83.95;25.25_83.80;25.20_83.85;25.20_83.90;25.25_83.90;25.30_83.90;25.15_83.90;25.15_83.80;25.20_83.80;25.15_84.00;25.35_83.95;25.35_83.90;25.30_83.80;25.30_83.95;25.15_83.85;25.25_84.00;25.25_83.85;25.20_84.00;25.35_83.85;25.30_84.00;25.30_83.85;25.25_83.95;25.35_83.80;25.35_84.00,25,25.175993041301624,83.97622221526909,95.09786240280538,CRITICAL,81.3,19356,6.01,248.7,30
27.50_84.50,27.50_84.50;27.50_84.45;27.55_84.45;27.50_84.40;27.50_84.35;27.45_84.50;27.50_84.55;27.40_84.55;27.45_84.40;27.45_84.35;27.30_84.50;27.30_84.45;27.45_84.45;27.55_84.40;27.40_84.50;27.55_84.35;27.40_84.40;27.40_84.45;27.30_84.55;27.35_84.55;27.40_84.35;27.35_84.50;27.55_84.50;27.35_84.30;27.45_84.30;27.40_84.30;27.45_84.55;27.35_84.40;27.30_84.40;27.55_84.55;27.30_84.35;27.30_84.30;27.35_84.45;27.35_84.35;27.55_84.30,35,27.528049715504977,84.52334773826459,94.94518233672008,CRITICAL,72.8,15596,4.53,250.28,30
23.50_78.25,23.50_78.25;23.70_78.25;23.55_78.30;23.65_78.15;23.60_78.20;23.65_78.35;23.65_78.25;23.55_78.25;23.60_78.25;23.50_78.30;23.60_78.10;23.75_78.10;23.60_78.15;23.60_78.30;23.70_78.30;23.75_78.30;23.70_78.35;23.60_78.35;23.50_78.20;23.55_78.10;23.65_78.20;23.55_78.20;23.55_78.35;23.55_78.15;23.75_78.15;23.50_78.35;23.50_78.15;23.50_78.10;23.65_78.30;23.70_78.10;23.70_78.20;23.75_78.25;23.65_78.10;23.75_78.20;23.75_78.35;23.70_78.15,36,23.524057401960786,78.27775083333333,94.10295908481008,CRITICAL,74.9,10045,5.61,291.92,30
