grid_id,latitude,longitude,total_detections,active_days,avg_frp,max_frp,recurrence_ratio,persistent_months,multi_satellite_activity,detections_30d,detections_90d,recent_activity_ratio,frp_intensity_ratio,persistence_ratio,risk_score,risk_level,risk_rank
24.90_84.10,24.92914470941884,84.14115705410822,499,353,1.73,95.84,1.0,68,1,1,8,0.125,55.35459974998842,1.0,100.0,CRITICAL,1
24.90_84.15,24.92361131506849,84.15925305479452,730,469,1.5,58.47,1.0,68,1,1,2,0.5,39.05418511876441,1.0,99.57352855776443,CRITICAL,2
31.25_76.90,31.257288598273234,76.92664213814119,1969,1060,0.95,33.76,1.0,78,1,5,15,0.333,35.6299861711137,1.0,99.4877096089301,CRITICAL,3
24.20_82.70,24.20692666772756,82.71172888924252,3142,1061,2.26,108.16,1.0,66,1,3,44,0.068,47.872632173561485,1.0,98.86934595080712,CRITICAL,4
31.15_75.00,31.17195344303797,75.02794124050632,396,167,9.3,80.96,1.0,31,1,1,1,1.0,8.69366173252321,1.0,95.2622952872131,CRITICAL,5
31.15_74.85,31.1754757266436,74.87459333910034,578,181,6.73,52.18,1.0,24,1,1,1,1.0,7.752466340049044,1.0,95.22089123012718,CRITICAL,6
26.75_83.20,26.76252110103627,83.2054987111399,1544,894,2.53,81.29,1.0,79,1,1,7,0.143,32.12295155391416,1.0,95.12128322754793,CRITICAL,7
26.75_83.15,26.761608769751696,83.19785010158014,1772,1029,1.8,50.9,1.0,77,1,2,12,0.167,28.275916120395884,1.0,95.07679960777753,CRITICAL,8
24.90_74.60,24.933773987301585,74.63355255238096,1577,1138,1.3,27.69,1.0,78,1,5,9,0.556,21.36301960361702,1.0,94.8977621603397,CRITICAL,9
31.45_74.60,31.48243028761062,74.62663670353982,453,191,5.55,29.14,1.0,31,1,1,1,1.0,5.244972563136643,1.0,94.12508088830529,CRITICAL,10
