grid_id,latitude,longitude,total_detections,active_days,avg_frp,max_frp,median_frp,frp_std,avg_brightness,max_brightness,avg_confidence,satellite_count,active_months,active_years,years_with_activity,avg_yearly_detections,max_yearly_detections,yearly_detection_std,recurrence_ratio,persistent_months,avg_monthly_detections,max_monthly_detections,satellite_types,snpp_detections,noaa20_detections,noaa21_detections,multi_satellite_activity,detections_30d,active_days_30d,avg_frp_30d,max_frp_30d,detections_90d,active_days_90d,avg_frp_90d,max_frp_90d,seasonal_peak,seasonal_mean,seasonal_std,seasonality_strength,detections_per_active_day,recent_activity_ratio,frp_intensity_ratio,persistence_ratio,industrial_area_count,factory_count,power_plant_count,warehouse_count,manufacturing_count,refinery_count,storage_count,chemical_count,steel_count,oil_count,gas_count,industrial_proximity,industrial_context_score,industrial_context_score_norm,industrial_fire_candidate,mining_distance_km,mining_site_count,flare_distance_km,flare_site_count,landcover_code,landcover_class,fire_activity_score,active_signal,fire_type,classification_confidence,classification_reason,industrial_fire_risk,industrial_risk_level,industrial_risk_rank
29.90_74.95,29.910924935747666,74.95410042056075,1712,557,8.68186331775701,131.09,3.755,12.677800889435742,321.65400700934583,367.0,60.29789719626168,3,78,7,7,244.57142857142856,745,243.97394474469132,1.0,78,21.94871794871795,197,3,766,772,174,1,5.0,4.0,4.566,6.19,8.0,5.0,3.5525,6.19,306,142.66666666666666,84.47951159179294,2.1448598130841123,3.073608617594255,0.0029205607476635,15.099293227973504,1.0,1,0,0,0,0,0,0,0,0,0,0,0.8093528854729543,0.6270739256017899,0.6255472034837108,1,63.41554268667642,0,inf,0,50,BUILT_UP,82.76402885723849,1,INDUSTRIAL,83.82920865717155,Active FIRMS thermal signal is spatially associated with mapped industrial infrastructure.,59.02,HIGH,1
30.85_74.55,30.872753252840912,74.57297811079546,704,177,9.226136363636364,296.83,6.34,14.7289942956076,341.56130681818183,367.0,57.31534090909091,3,23,7,7,100.57142857142856,176,46.87876968969053,1.0,23,30.608695652173918,100,3,304,328,72,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271,140.8,130.86519781821292,1.924715909090909,3.977401129943503,0.0,32.17273063185121,1.0,1,0,0,0,0,0,0,0,0,0,0,0.2954279373455396,0.448961111194823,0.4478680361511419,1,74.90770580819701,0,inf,0,-1,UNKNOWN,80.1017068907813,1,INDUSTRIAL,83.03051206723438,Active FIRMS thermal signal is spatially associated with mapped industrial infrastructure.,57.56,HIGH,2
30.85_74.65,30.87628312024353,74.67597608828005,657,217,9.877092846270928,89.65,6.47,10.50530225788275,342.26132420091324,367.0,57.53424657534247,3,27,7,7,93.85714285714286,150,41.33774938007056,1.0,27,24.33333333333333,84,3,282,303,72,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262,131.4,109.79207621681994,1.9939117199391168,3.0276497695852536,0.0,9.076557383364795,1.0,1,0,0,0,0,0,0,0,0,0,0,0.6277441604971595,0.5641331377607606,0.5627596560964829,1,68.99139880721889,0,inf,0,-1,UNKNOWN,79.99079617715964,1,INDUSTRIAL,82.99723885314789,Active FIRMS thermal signal is spatially associated with mapped industrial infrastructure.,57.49,HIGH,3
29.80_75.95,29.82421623544631,75.97464557567918,773,194,8.50222509702458,117.81,5.82,10.227866813285264,340.73150064683057,367.0,57.51617076326003,3,25,7,7,110.42857142857144,191,56.32304780714298,1.0,25,30.92,138,3,282,402,89,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370,128.83333333333334,143.28072678021516,2.8719275549805947,3.984536082474227,0.0,13.856372732501349,1.0,1,0,0,0,0,0,0,0,0,0,0,0.3962729423266481,0.4839113266329276,0.4827331591228522,1,18.622733704204613,0,inf,0,40,CROPLAND,79.80504629801793,1,INDUSTRIAL,82.94151388940537,Active FIRMS thermal signal is spatially associated with mapped industrial infrastructure.,57.39,HIGH,4
30.95_74.70,30.97417364269141,74.72478345707657,862,220,8.397273781902552,98.78,5.73,9.35016876091511,341.14764501160096,367.0,57.49419953596288,3,23,7,7,123.14285714285714,199,58.13612924687646,1.0,23,37.47826086956522,129,3,395,401,66,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375,172.4,162.96257239010436,2.1751740139211138,3.918181818181818,0.0,11.763341599375558,1.0,1,0,0,0,0,0,0,0,0,0,0,0.2029958992007119,0.4169266078780748,0.4159115264851556,1,57.30451638400795,0,inf,0,-1,UNKNOWN,79.75595924286937,1,INDUSTRIAL,82.9267877728608,Active FIRMS thermal signal is spatially associated with mapped industrial infrastructure.,57.37,HIGH,5
30.95_74.65,30.97436464460784,74.67365448529412,816,193,8.378468137254902,111.25,5.92,8.922570552137948,341.3731495098039,367.0,57.05882352941177,3,24,7,7,116.57142857142856,204,56.56517521955579,1.0,24,34.0,143,3,353,375,88,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292,136.0,146.03013387653934,2.147058823529412,4.227979274611399,0.0,13.278083556268037,1.0,1,0,0,0,0,0,0,0,0,0,0,0.3670112711175799,0.4737700041844087,0.4726165275132545,1,60.098350318172926,0,inf,0,-1,UNKNOWN,79.73373991298205,1,INDUSTRIAL,82.92012197389461,Active FIRMS thermal signal is spatially associated with mapped industrial infrastructure.,57.35,HIGH,6
31.30_75.05,31.325499833333332,75.07611171212122,660,191,6.683409090909091,94.24,5.07,6.213793974149749,339.32613636363635,367.0,55.81818181818182,3,26,7,7,94.28571428571428,198,55.056680750278574,1.0,26,25.384615384615383,153,3,291,299,70,1,1.0,1.0,2.69,2.69,5.0,4.0,6.961999999999999,17.77,311,82.5,127.46652221549894,3.7696969696969695,3.4554973821989527,0.0015151515151515,14.100588295303838,1.0,1,0,0,0,0,0,0,0,0,0,0,0.1923300221979373,0.4132300965917386,0.4122240150077897,1,9.01176779076023,0,inf,0,-1,UNKNOWN,79.70185192071699,1,INDUSTRIAL,82.9105555762151,Active FIRMS thermal signal is spatially associated with mapped industrial infrastructure.,57.34,HIGH,7
30.30_75.60,30.32625649526387,75.6243143843031,739,163,8.522625169147497,156.95,5.73,10.49129239580993,341.2311096075778,367.0,58.538565629228685,3,25,7,7,105.57142857142856,191,67.43603671345942,1.0,25,29.56,154,3,343,344,52,1,0.0,0.0,0.0,0.0,3.0,2.0,3.4599999999999995,5.47,467,123.16666666666669,181.8410478045776,3.791610284167794,4.533742331288344,0.0,18.41568728942463,1.0,1,0,0,0,0,0,0,0,0,0,0,0.1498963876786648,0.3985237195277661,0.3975534432136964,1,59.670215990038244,0,inf,0,-1,UNKNOWN,79.54585177196833,1,INDUSTRIAL,82.8637555315905,Active FIRMS thermal signal is spatially associated with mapped industrial infrastructure.,57.25,HIGH,8
30.65_75.10,30.676481894273127,75.12540371512482,681,148,9.261953010279004,124.37,6.23,10.55510521184336,341.0835976505139,367.0,57.79735682819384,3,19,7,7,97.28571428571428,198,71.29215544904943,1.0,19,35.8421052631579,151,3,310,327,44,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,421,170.25,185.47124664845853,2.472834067547724,4.601351351351352,0.0,13.428053442073503,1.0,1,0,0,0,0,0,0,0,0,0,0,0.1942353795742063,0.4138904431383985,0.4128827538242646,1,81.24322575446365,0,inf,0,-1,UNKNOWN,79.47928675021383,1,INDUSTRIAL,82.84378602506415,Active FIRMS thermal signal is spatially associated with mapped industrial infrastructure.,57.21,HIGH,9
29.90_74.90,29.910738410815934,74.94517556451613,2108,583,7.578050284629981,160.19,3.595,10.249527519564475,321.71707305502844,367.0,60.74003795066414,3,70,7,7,301.1428571428572,959,319.4450545197763,1.0,70,30.114285714285717,238,3,965,947,196,1,0.0,0.0,0.0,0.0,9.0,1.0,12.747777777777776,35.31,350,175.66666666666666,93.03892961681376,1.9924098671726755,3.615780445969125,0.0,21.138682640428232,1.0,1,0,0,0,0,0,0,0,0,0,0,0.7526889085958595,0.6074356876959538,0.6059567783331925,1,63.20330911436427,0,inf,0,40,CROPLAND,79.41402327916404,1,INDUSTRIAL,82.8242069837492,Active FIRMS thermal signal is spatially associated with mapped industrial infrastructure.,57.18,HIGH,10
