grid_id,latitude,longitude,industrial_fire_risk,risk_level,risk_rank,industrial_fire_candidate,detections_30d,active_days_30d,avg_frp_30d,max_frp_30d,industrial_context_score,industrial_area_count,factory_count,warehouse_count,power_plant_count,manufacturing_count,refinery_count,storage_count,chemical_count,steel_count,oil_count,gas_count,recent_thermal_score,has_recent_firms,has_industrial_context
29.45_76.85,29.46368484821024,76.87038499773448,100.0,CRITICAL,1.0,1,23.0,9.0,12.024347826086956,52.02,40.0,1,0,0,0,0,0,0,0,0,0,0,100.0,1,1
26.60_79.45,26.642515518453425,79.47886769185706,45.034775783117155,MODERATE,2.0,1,13.0,8.0,1.463846153846154,3.2,40.0,1,0,0,0,0,0,0,0,0,0,0,51.115593815359865,1,1
29.90_74.95,29.910924935747666,74.95410042056075,33.09270844853789,MODERATE,3.0,1,5.0,4.0,4.566,6.19,40.0,1,0,0,0,0,0,0,0,0,0,0,40.494680709203834,1,1
28.70_76.90,28.74261893815636,76.9276337806301,24.75995039358653,LOW,4.0,1,1.0,1.0,2.47,2.47,80.0,0,0,0,1,0,0,0,0,0,0,0,15.940920851035711,1,1
23.65_84.95,23.67020127553943,84.99470776971549,23.6973323925105,LOW,5.0,1,5.0,4.0,1.344,1.88,40.0,1,0,0,0,0,0,0,0,0,0,0,32.138717717621745,1,1
31.25_76.90,31.257288598273234,76.92664213814119,22.488221946903998,LOW,6.0,1,5.0,4.0,0.91,1.43,40.0,1,0,0,0,0,0,0,0,0,0,0,31.06337149667493,1,1
29.10_75.75,29.123744160671464,75.7776672002398,21.65910117033582,LOW,7.0,1,4.0,4.0,1.375,2.22,40.0,1,0,0,0,0,0,0,0,0,0,0,30.32597658206574,1,1
24.10_82.65,24.142888322411533,82.67661663171691,21.4467988921238,LOW,8.0,1,7.0,2.0,1.022857142857143,1.73,40.0,1,0,0,0,0,0,0,0,0,0,0,30.13716136389997,1,1
24.10_82.70,24.13753216380182,82.7196961627907,21.338627423398336,LOW,9.0,1,4.0,4.0,1.2675,2.06,40.0,1,0,0,0,0,0,0,0,0,0,0,30.04095693482497,1,1
26.75_83.15,26.761608769751696,83.19785010158014,17.566920748577036,LOW,10.0,1,3.0,3.0,1.72,3.06,40.0,1,0,0,0,0,0,0,0,0,0,0,26.68651521775379,1,1
