grid_id,grid_ids_merged,n_grids_merged,fire_type,site_name,verification_reason,latitude,longitude,total_detections,avg_frp,max_frp,landcover_class,risk_score,risk_level,region_radius_km
25.10_83.80,25.10_83.80;25.00_83.85;25.05_83.85;25.05_83.90;25.00_83.90;25.10_83.75;25.15_83.90;25.10_83.85;25.10_83.90;25.15_83.75;25.15_83.85;25.15_83.80;25.20_83.85;25.20_83.65;25.05_83.80;25.20_83.75;25.10_83.70;25.20_83.90;25.20_83.70;24.95_83.75;24.95_83.70;25.05_83.70;24.95_83.90;25.20_83.60;25.05_83.75;25.15_83.65;24.95_83.65;25.00_83.75;25.15_83.60;25.00_83.65;24.85_83.80;24.90_83.80;24.95_83.85;24.90_83.90;24.95_83.80;24.90_83.85;24.85_83.70;24.85_83.85;24.85_83.75;24.85_83.90;24.95_83.60,41,AGRICULTURAL_BURNING,,On cropland — consistent with crop-residue burning.,25.125272734436564,83.82632143420015,26013,6.9555003940110325,213.96,CROPLAND,91.9257850927326,CRITICAL,40
27.10_82.85,27.10_82.85;27.25_82.65;27.30_82.60;27.30_82.75;27.25_82.70;27.05_82.85;27.30_82.65;27.20_82.75;27.10_82.80;27.25_82.75;27.15_82.60;27.05_82.70;27.30_82.70;27.10_82.70;27.10_82.75;27.35_82.65;27.35_82.75;27.15_82.75;27.35_82.60;27.05_82.80;27.20_82.55;27.30_82.50;27.00_82.85;27.20_82.70;27.35_82.70;27.25_82.60;27.15_82.85;27.20_82.80;27.20_82.50;27.25_82.80;27.15_82.50;27.30_82.55;27.35_82.55;27.35_82.85;27.35_82.50;27.20_82.85;27.20_82.65;27.25_82.55;27.10_82.55;27.30_82.85;27.25_82.85;27.05_82.55,42,AGRICULTURAL_BURNING,,On cropland — consistent with crop-residue burning.,27.12559372118551,82.87633243688255,24246,5.143622392974753,256.57,CROPLAND,93.0414429256036,CRITICAL,40
25.55_76.70,25.55_76.70;25.50_76.70;25.55_76.55;25.45_76.55;25.50_76.55;25.45_76.60;25.40_76.60;25.55_76.65;25.50_76.65;25.50_76.60;25.40_76.65;25.45_76.70;25.55_76.60;25.45_76.65;25.30_76.40;25.45_76.40;25.30_76.45;25.40_76.50;25.45_76.50;25.40_76.40;25.55_76.50;25.35_76.45;25.35_76.40;25.35_76.65;25.45_76.45;25.40_76.45;25.50_76.50;25.25_76.40;25.20_76.40;25.30_76.50;25.50_76.45;25.25_76.45;25.55_76.75;25.25_76.60;25.35_76.50;25.40_76.55;25.35_76.55;25.20_76.45;25.40_76.70;25.55_76.40;25.50_76.40;25.25_76.50;25.55_76.45;25.25_76.65;25.30_76.60;25.30_76.55;25.20_76.60;25.30_76.65,48,AGRICULTURAL_BURNING,,On cropland — consistent with crop-residue burning.,25.57281838538206,76.72313401328904,21290,11.200651162790695,175.91,CROPLAND,87.12428933694432,CRITICAL,40
25.80_76.65,25.80_76.65;25.75_76.65;25.65_76.55;25.75_76.60;25.70_76.60;25.70_76.55;25.60_76.55;25.80_76.60;25.70_76.65;25.75_76.55;25.85_76.65;25.65_76.50;25.65_76.60;25.75_76.70;25.60_76.60;25.60_76.65;25.70_76.70;25.60_76.70;25.60_76.50;25.70_76.50;25.80_76.55;25.80_76.70;25.85_76.60;25.85_76.70;25.85_76.50;25.75_76.50;25.90_76.55;25.85_76.55;25.90_76.60;25.70_76.40;25.65_76.45;25.90_76.65;25.65_76.70;25.90_76.70;25.60_76.40;25.75_76.45;25.65_76.40;25.85_76.45;25.60_76.45;25.80_76.45;25.80_76.40,41,AGRICULTURAL_BURNING,,On cropland — consistent with crop-residue burning.,25.82425293463143,76.67428560500696,21097,8.643567454798331,115.81,CROPLAND,80.9600901461546,CRITICAL,40
25.05_83.95,25.05_83.95;25.10_84.00;25.10_83.95;25.00_83.95;25.15_84.05;25.15_84.10;25.20_84.00;25.15_83.95;25.05_84.00;25.10_84.05;25.20_84.10;25.15_84.20;25.10_84.10;25.20_84.15;25.00_84.00;25.15_84.15;25.00_84.10;25.20_84.20;24.95_84.10;25.05_84.10;24.95_83.95;25.00_84.15;25.10_84.15;25.05_84.05;25.00_84.05;24.95_84.05;24.95_84.00;24.90_84.25;25.10_84.25;25.00_84.25;25.15_84.30;24.90_83.95;25.00_84.20;24.90_84.20;25.15_84.25;25.05_84.20;24.85_84.20;24.85_84.10;24.85_84.25;24.85_83.95;24.95_84.20;25.10_84.20,42,AGRICULTURAL_BURNING,,On cropland — consistent with crop-residue burning.,25.076477210200927,83.97386591190109,20897,7.261066460587326,248.7,CROPLAND,95.09786240280538,CRITICAL,40
25.90_78.10,25.90_78.10;25.90_78.05;25.90_78.15;25.85_78.05;25.80_78.00;25.85_78.00;25.85_78.10;25.85_78.15;25.70_78.05;25.80_78.05;25.70_78.10;25.75_78.05;25.70_78.00;25.80_78.15;25.90_78.00;25.75_78.10;25.65_78.15;25.80_77.95;25.75_78.00;25.70_77.95;25.65_78.10;25.60_78.10;25.75_77.95;25.60_78.05;25.85_77.95;25.65_78.05;25.65_78.00;25.60_78.15;25.65_77.95;25.60_77.95;25.70_77.90;25.60_77.85;25.65_77.90;25.85_77.85,34,AGRICULTURAL_BURNING,,On cropland — consistent with crop-residue burning.,25.925533328369323,78.12515206254653,20603,6.355986597170514,180.91,CROPLAND,90.28423144815744,CRITICAL,40
23.55_77.70,23.55_77.70;23.65_77.70;23.55_77.65;23.70_77.80;23.65_77.75;23.50_77.65;23.60_77.60;23.50_77.70;23.55_77.60;23.70_77.70;23.65_77.45;23.65_77.65;23.75_77.80;23.60_77.65;23.70_77.65;23.55_77.55;23.60_77.75;23.50_77.60;23.70_77.50;23.70_77.60;23.75_77.70;23.65_77.80;23.65_77.55;23.60_77.70;23.75_77.75;23.60_77.80;23.65_77.60;23.60_77.50;23.75_77.65;23.55_77.75;23.55_77.80;23.70_77.55;23.75_77.60;23.50_77.75;23.50_77.55;23.75_77.55;23.60_77.55;23.60_77.45;23.50_77.50;23.55_77.45;23.75_77.50,41,AGRICULTURAL_BURNING,,On cropland — consistent with crop-residue burning.,23.57667819847328,77.72460902290076,18683,8.577801526717558,270.8,CROPLAND,90.46304486346938,CRITICAL,40
28.10_81.95,28.10_81.95;28.10_81.90;28.15_81.90;28.20_81.80;28.15_81.85;28.20_81.85;28.15_81.95;28.20_81.90;28.20_82.05;28.20_82.00;28.10_82.05;28.10_82.00;28.25_81.85;28.30_81.80;28.25_81.80;28.30_81.85;28.10_81.85;28.15_81.80;28.25_82.00;28.20_81.95;28.25_81.90;28.15_82.05;28.30_81.90;28.25_81.95;28.10_81.80;28.35_81.80;28.40_81.85;28.20_82.10;28.35_81.85;28.40_82.05;28.35_82.05;28.40_81.90;28.45_81.85;28.15_82.10;28.25_82.10;28.30_81.95;28.10_82.10;28.25_82.05;28.35_81.90;28.25_82.15;28.40_82.00;28.40_81.80;28.40_82.10;28.35_82.00;28.30_82.00;28.30_82.05,46,FOREST_FIRE,,On Tree Cover — consistent with a forest/wildland fire.,28.12474267605634,81.97458989165764,18024,3.350899241603467,265.52,TREE_COVER,85.43086290609327,CRITICAL,40
25.85_78.60,25.85_78.60;25.90_78.65;25.90_78.70;25.90_78.75;25.85_78.65;25.60_78.60;25.85_78.70;25.80_78.60;25.90_78.55;25.80_78.55;25.60_78.65;25.85_78.55;25.80_78.85;25.90_78.60;25.65_78.60;25.70_78.80;25.65_78.55;25.65_78.65;25.60_78.70;25.60_78.55;25.90_78.80;25.70_78.85;25.65_78.70;25.60_78.80;25.60_78.75;25.75_78.85;25.60_78.85;25.70_78.65;25.75_78.55;25.75_78.80;25.80_78.80;25.80_78.75;25.65_78.80;25.85_78.85;25.70_78.60;25.75_78.60;25.75_78.70;25.80_78.70;25.80_78.65;25.85_78.80;25.75_78.75;25.90_78.85;25.75_78.65,43,AGRICULTURAL_BURNING,,On cropland — consistent with crop-residue burning.,25.874237768924303,78.62433001992032,16862,6.871892430278884,155.94,CROPLAND,80.84361272628969,CRITICAL,40
27.50_84.40,27.50_84.40;27.50_84.35;27.45_84.40;27.45_84.50;27.50_84.50;27.45_84.45;27.40_84.60;27.40_84.50;27.50_84.45;27.50_84.65;27.45_84.55;27.40_84.55;27.45_84.60;27.40_84.65;27.50_84.60;27.50_84.55;27.45_84.65;27.70_84.30;27.55_84.40;27.40_84.45;27.45_84.35;27.55_84.45;27.60_84.65;27.70_84.35;27.70_84.65;27.70_84.55;27.65_84.65;27.70_84.60;27.45_84.30;27.40_84.30;27.40_84.35;27.70_84.50,32,FOREST_FIRE,,On Tree Cover — consistent with a forest/wildland fire.,27.52299932051282,84.42379314102566,15642,6.9995128205128205,250.28,TREE_COVER,94.94518233672008,CRITICAL,40
